"county","proficiency_lp_center","proficiency_mt_center","classroom_center","classroom_used_center","computers_center","employees_center","proficiency_lp_radius","proficiency_mt_radius","classroom_radius","classroom_used_radius","computers_radius","employees_radius"
4119202,262.697680898734,254.048659177215,6.9,6.8,17.4,22.4,79.9999239531187,81.3220428185177,5.37070241629942,5.05964425626941,42.2605673832659,21.0227390117357
4119301,246.304223213235,246.045972772059,8.10810810810811,7.59459459459459,15.2972972972973,30.5945945945946,82.4475601173553,78.9731106723393,8.54769343525276,9.64318365432241,28.8246224408726,36.5618485414615
4119400,237.507984170819,239.790926487544,6.70833333333333,6.75,10.4166666666667,22.6666666666667,93.0858738018891,91.4802167958121,8.75719166154889,8.73274696560122,27.8874549740118,43.2853692187764
4119509,243.160284370868,241.30807663843,9.91525423728813,10.1016949152542,12.1186440677966,41.8983050847458,91.0282985466678,83.2743387782343,11.1990648353008,15.1028424602753,23.9657363053365,59.9571052592564
4119608,255.854799414169,254.506105972752,9.82051282051282,8.82051282051282,18.9230769230769,33.8717948717949,86.0757263196052,90.2167110401515,9.12915278102657,11.0107296461874,34.2694727291449,48.4630721861707
4119806,277.802494824427,286.169729465649,7.8,6.33333333333333,15,29.5333333333333,83.93293253904,80.2446946274542,5.86515131944607,6.17213399848368,19.7411824801425,34.5986512261196
4119905,264.699960661748,263.542237751419,10.2393822393822,9.93846153846154,16.0884615384615,39.1730769230769,88.1890946124511,88.2456259741286,14.8256839266837,15.3602884588299,37.234302568912,67.1007093666319
4119954,263.333294550296,260.37173483432,7.57692307692308,7.57692307692308,10.0769230769231,27.6923076923077,92.4545322582865,88.6013219485177,7.04665769108906,7.31405391116203,19.5052655612628,40.218480252816
4120002,253.582709454082,249.648038969388,10.2307692307692,9.46153846153846,12.6923076923077,37.6153846153846,100.304456417505,95.4514149535483,9.80319152636345,9.85276220543879,31.6268305439608,50.176611161898
4120101,266.265355333333,259.839950979167,6.75,6,17.25,23.75,74.3087067579664,75.9074741297489,2.97609523657138,3.70328039909021,27.6457178290909,19.0563075421986
4120507,222.708854168539,233.461762898876,8.72727272727273,7.72727272727273,7.81818181818182,28.8181818181818,102.558321690527,109.795514443739,8.25061981142794,6.87551650952329,14.3893900306631,40.0980616171723
4120606,249.337762718593,257.75160021608,6.7875,5.8875,9.5,18.6875,91.1372551372089,85.0307705848247,10.3883759284298,9.39158659301916,24.8764033380627,40.4914039947784
4120655,255.732681745098,258.82950254902,11,8.6,16.2,37.2,88.6010461337463,83.087766997388,14.2828568570857,10.1587400793602,22.378561169119,14.5189531303052
4120804,270.563613701639,273.600984567213,10.1904761904762,9.33333333333333,17.047619047619,36.3809523809524,87.5525588996528,90.7874805507861,8.82312977619728,8.42219290525534,37.7490460302042,42.3295461373079
4120903,255.339281049844,260.214010252336,8.11627906976744,7.27906976744186,15.4651162790698,27.4186046511628,90.4600634318559,93.7195554468509,7.84625239419712,7.51285351147141,34.9049016539001,31.4725354438544
4121208,258.66242534375,262.296201800781,8.33333333333333,7.22222222222222,12.7222222222222,28.8333333333333,87.7151058124013,95.4107877235555,4.39250698884576,4.14760345007632,24.0764034401814,27.7912385685934
4121406,283.267663052941,293.160579858824,9.33333333333333,8.23809523809524,14.952380952381,29.9047619047619,87.5695713586401,90.9616000707197,8.67947771086102,6.69043382464133,30.5841540048188,25.0910722122811
4121505,264.318027324607,265.184608387435,7.5625,6.5625,13.5,26.8125,89.5013807029055,82.0387340546641,7.58836829188814,7.30182625557926,25.9846108302587,39.4036800311849
4121703,252.933069803625,248.840596359517,7.35714285714286,6.78571428571429,6.71428571428571,25.1071428571429,90.8106031902801,94.2349256839849,6.88991287832433,6.26234231074374,17.4598556937496,38.9922662254559
4121752,257.35417,262.336159738095,9.9,6.9,11.6,29.5,93.879499501417,79.2239387530878,14.6802966969715,8.50881895447306,24.1329650063974,39.668067202166
4121802,274.631118548872,273.252367796992,7.07692307692308,6.69230769230769,11.5384615384615,34.6153846153846,78.9906490489977,81.3953880065244,4.72310197938731,5.56085217597779,13.8712024140035,35.3604153589713
4121901,237.54304677551,245.746577071429,8.6875,8.25,7.0625,33.8125,84.6775702429373,86.6871912481298,8.66314030822542,7.94984276574072,23.5226840872097,34.5887746723317
4122008,243.301406809249,259.919045317919,5.52380952380952,5.61904761904762,9.28571428571429,19.0952380952381,99.6628339849714,89.3784365278046,7.96540137391827,8.13575295780767,22.6109960607034,34.7039177148907
4122156,223.821572783784,230.236754640927,8.1578947368421,6.73684210526316,18.2105263157895,38.6315789473684,112.277140505204,105.824017272663,6.3337949970241,5.36830638565762,27.8374563602386,93.1479361644471
4122206,247.789309016548,248.094941323877,6.76744186046512,6.41860465116279,9.37209302325581,26.4651162790698,87.9328282319822,83.6068947048648,11.354354812161,10.7103204179497,22.1854660953816,45.261881023154
4122305,268.890375149847,275.034638877676,10.1764705882353,8.44117647058824,21.3823529411765,37.3529411764706,88.2382161034903,84.7987761542111,11.3828215944457,9.53705597761398,38.555790999639,45.6624833817851
4122404,260.78397777668,259.490257822134,10.5365853658537,9.39024390243902,19.9268292682927,39.390243902439,92.6699472355175,91.0337885583342,14.1428254671802,11.1792490694186,34.0863322870104,60.3040264804606
4122503,256.715838617391,262.245891852174,7.42857142857143,6.5,17.9285714285714,26.0714285714286,96.0401296667272,87.7696785393835,9.82036457773134,8.25553427428208,34.8134747185342,37.4368332463696
4122701,267.611111202381,265.281698071429,6.875,5.875,10.5,32.25,84.4460333538159,83.9014545526942,4.71320333894961,5.89794152952658,21.8828047301333,22.8723163921553
4123006,275.63644139881,274.388093636905,6.13636363636364,5.63636363636364,11.5454545454545,21.2272727272727,82.0566955343861,86.797795009348,5.28413454806725,6.09591446463721,25.2283081570591,20.993711695075
4123501,280.908528245763,287.249936949153,9.51724137931035,8.31034482758621,13.5862068965517,32.7586206896552,77.1767305732008,91.2208644914591,8.36012114839035,8.92994078169234,23.6976022981187,25.1887456298233
4123709,250.704631815789,253.258332842105,8.5,7.9,15.8,29.3,83.8350341124452,83.0813162261846,5.98145281497545,5.6134758493389,46.9590838449341,33.5333996023202
4123808,268.061226972477,269.422448357798,6.94444444444444,6.77777777777778,14.2777777777778,24.7777777777778,83.459807819568,91.4405072882775,7.21019612108958,7.31012369914026,26.4335397959447,35.9054677504567
